election_id,election,candidate_id,選舉類型,擬參選人,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出
55086526-97a0-4c1e-be70-28956ab936af,"2016-01 > 立法委員 > 臺北市 > 第04選區[區域]",558d4a26-4508-4f6d-aefa-111d6ab936af,105年立法委員,陳尚志,2524165,170000,0,0,174767,344,620164,719099,20169,867225,36250,0,193918,407286,0,7726
5508676d-2164-4cbb-8762-35296ab936af,"2016-01 > 立法委員 > 臺東縣 > 第01選區[區域]",551161a1-af40-4f0d-805f-17a06ab936af,105年立法委員,陳建閣,1708600,1698800,5500000,6000,16000,3203,1504100,4082257,257379,396000,528565,0,163066,1096656,0,1045470
550866d2-1e30-4067-bdb0-23aa6ab936af,"2016-01 > 立法委員 > 彰化縣 > 第01選區[區域]",55183b36-9898-4628-a86a-12916ab936af,105年立法委員,陳文彬,106000,2502,811,7531246,13876594,115749,59427,1949014,466913,1262974,0,0,112900,16803664,0,0
55086722-1110-4726-985f-35296ab936af,"2016-01 > 立法委員 > 嘉義縣 > 第02選區[區域]",550c640c-7d94-4c79-b1dc-025cacb5b862,105年立法委員,陳明文,7664046,6516000,475000,200000,110000,4270,14969316,834800,463109,80000,2086549,0,247370,1196634,0,525660
550866da-da04-4b8d-9a4a-28956ab936af,"2016-01 > 立法委員 > 彰化縣 > 第03選區[區域]",55af6deb-84b8-4da8-9548-078c6ab936af,105年立法委員,陳朝容,505000,1140000,2000000,0,3000,443,1473100,1269580,0,54400,166000,0,64269,624423,0,0
55086674-8224-431b-be41-35296ab936af,"2016-01 > 立法委員 > 桃園市 > 第01選區[區域]",550c640c-ff38-4f05-a01c-025cacb5b862,105年立法委員,陳根德,10547100,7508000,5000000,262000,0,1120,3458660,13825612,786075,2293123,1294344,458196,3816020,1032000,0,719230
5508674e-222c-4e26-9fb6-35296ab936af,"2016-01 > 立法委員 > 宜蘭縣 > 第01選區[區域]",550c640c-d154-492e-9d5b-025cacb5b862,105年立法委員,陳歐珀,10085600,6223000,0,6000,501,3531300,4884443,16775101,95875,8433466,330616,850000,628712,100000,460000,0
55086597-23e4-4544-8b80-23aa6ab936af,"2016-01 > 立法委員 > 新北市 > 第11選區[區域]",55b37b52-0be8-4ecc-a293-676c6ab936af,105年立法委員,陳永福,3946000,210000,0,250,4812209,150461,172725,0,315998,572000,0,7580903,0,7531750,0,0
5508659d-b768-4da9-bcad-28956ab936af,"2016-01 > 立法委員 > 新北市 > 第12選區[區域]",560024fd-cf1c-491f-be40-461f6ab936af,105年立法委員,陳永順,0,0,7620,14,467347,0,0,16514,1003334,266917,0,1016799,0,0,0,0
55086600-5d6c-4c70-b17e-23aa6ab936af,"2016-01 > 立法委員 > 臺南市 > 第04選區[區域]",55c60169-51a4-4e12-85ac-6e0c6ab936af,105年立法委員,陳淑慧,1569230,1680000,13500000,100000,24597,35,5504814,8064945,16873862,0,587058,50000,116600,2906840,0,61410
550867ac-19a8-41ea-bae7-28956ab936af,"2016-01 > 立法委員 > 金門縣 > 第01選區[區域]",55ad06f9-a354-41e0-94fd-676c6ab936af,105年立法委員,陳滄江,100000,64503,278,2567074,0,2492635,0,211560,6391,0,0,0,0,2710586,0,0
55086422-2e64-4827-9712-23d86ab936af,"2016-01 > 立法委員 > 全國[平原]",55d81708-3b2c-4c5e-8493-77346ab936af,105年立法委員,陳瑩,4314600,3070000,3334500,470000,0,1530,8420960,1694245,418430,1169125,388142,96607,553121,200000,0,108230
55086567-f3cc-4685-95b3-28956ab936af,"2016-01 > 立法委員 > 新北市 > 第04選區[區域]",550c640c-f848-426d-b1f7-025cacb5b862,105年立法委員,陳茂嘉,800000,7000000,0,5200,85,8055285,305280,3798770,2507261,336035,41343,0,1012937,0,0,8055626
550866b4-7140-4a51-bea1-23aa6ab936af,"2016-01 > 立法委員 > 苗栗縣 > 第01選區[區域]",550c640c-6f2c-45b4-953f-025cacb5b862,105年立法委員,陳超明,9468000,13320000,6000000,680000,33200,1603,6860675,12868644,301690,70900,4454881,100000,966928,3042572,0,1035155
5508677e-0984-4ddb-9f47-2f916ab936af,"2016-01 > 立法委員 > 澎湖縣 > 第01選區[區域]",55b3b191-d230-4236-93d3-304c6ab936af,105年立法委員,陳雙全,760000,1100000,5500000,300000,0,1132,2654700,3658965,234371,189500,857922,20900,350000,7661132,0,0
550867a9-c568-41b7-9ea7-23d86ab936af,"2016-01 > 立法委員 > 連江縣 > 第01選區[區域]",550c640c-e4e8-49b7-974d-025cacb5b862,105年立法委員,陳雪生,160000,1150000,5500000,0,0,2273,6812273,3135816,1500000,679945,401555,0,1497829,0,418500,146700
550865c5-40c4-4388-bf7c-28956ab936af,"2016-01 > 立法委員 > 臺中市 > 第04選區[區域]",550ce48d-9b54-439f-ba3d-08496ab936af,105年立法委員,顏惠莉,3000,0,0,0,0,0,87500,205500,3000,0,0,0,0,0,0,0
550865b9-edc4-435c-9c17-35296ab936af,"2016-01 > 立法委員 > 臺中市 > 第01選區[區域]",55c5feb0-e804-4ffb-a2ce-44f36ab936af,105年立法委員,顏秋月,0,7000000,441360,0,960600,584,8402544,696700,105389,12000,68800,0,107720,917237,0,219000
550866f1-acb4-4b5d-a8ee-35296ab936af,"2016-01 > 立法委員 > 南投縣 > 第01選區[區域]",550c640c-c570-4434-836b-025cacb5b862,105年立法委員,馬文君,4178000,6823000,5000000,385600,36500,3113,206675,82645,702097,520000,16426213,0,1278236,130612,0,240300
550867ac-19a8-41ea-bae7-28956ab936af,"2016-01 > 立法委員 > 金門縣 > 第01選區[區域]",55181581-62c8-409f-8aa0-148d6ab936af,105年立法委員,高丹樺,0,0,4000,56,273600,0,0,626044,152759,334090,0,994819,0,0,0,0
55086561-d694-4667-9d94-2f916ab936af,"2016-01 > 立法委員 > 新北市 > 第03選區[區域]",550c640c-85f8-4f5d-a9d7-025cacb5b862,105年立法委員,高志鵬,15821169,11318000,475000,950000,92690,2088,3462715,13611870,259000,229250,641182,400000,83847,1359424,0,309760
5508641c-f4e0-4b63-8354-28956ab936af,"2016-01 > 立法委員 > 全國[山原]",550c640c-0a20-46fb-80a7-025cacb5b862,105年立法委員,高金素梅,300000,1500000,0,0,7000,31,686100,658920,72000,0,0,0,366817,0,61183,0
55086798-c350-4d0c-a197-35296ab936af,"2016-01 > 立法委員 > 新竹市 > 第01選區[區域]",55b793b3-d968-4e54-b4e6-318f6ab936af,105年立法委員,魏揚,1000,0,200000,0,0,0,0,0,0,0,0,0,202000,0,201000,0
550865c1-cb30-4196-ad83-2f916ab936af,"2016-01 > 立法委員 > 臺中市 > 第03選區[區域]",55b793ce-de08-46c5-85bc-318c6ab936af,105年立法委員,黃信吉,0,21,195000,103082,0,0,14445,23012,272795,0,0,0,10230,618564,0,480000
550865f4-baf8-4cae-88be-2f916ab936af,"2016-01 > 立法委員 > 臺南市 > 第02選區[區域]",550c640c-1d0c-43de-a054-025cacb5b862,105年立法委員,黃偉哲,9926989,3218000,47500,800000,19000,893,1493300,9058255,281045,122360,288600,700000,78850,1955536,0,411320
5508659d-b768-4da9-bcad-28956ab936af,"2016-01 > 立法委員 > 新北市 > 第12選區[區域]",553fb88a-fa84-4572-88e3-698f6ab936af,105年立法委員,黃國昌,25169857,4925000,0,450000,2438284,2867,32986008,4019345,1172573,1600003,2809427,471942,3420478,1350000,0,102475
550865cd-a8c4-4255-8543-23d86ab936af,"2016-01 > 立法委員 > 臺中市 > 第06選區[區域]",550ce4a5-05b4-4fbc-a619-084b6ab936af,105年立法委員,黃國書,23972666,8943500,0,501000,0,5199,3873155,10228370,87000,558400,193443,50000,33422365,3293448,0,70050
5508657a-53cc-46a9-9e9a-23d86ab936af,"2016-01 > 立法委員 > 新北市 > 第05選區[區域]",550c640c-cb78-40fa-836c-025cacb5b862,105年立法委員,黃志雄,6150700,3351500,8000000,150000,23600,1820,1957741,11446080,207550,17677620,1387960,0,90362,2392074,0,172338
550865f4-baf8-4cae-88be-2f916ab936af,"2016-01 > 立法委員 > 臺南市 > 第02選區[區域]",56540f99-eb64-4d01-996c-0ed66ab936af,105年立法委員,黃憲清,7200,0,0,200000,0,0,207200,25000,0,0,0,0,0,200000,0,0
5508673e-6194-4ecd-9f2c-23d86ab936af,"2016-01 > 立法委員 > 屏東縣 > 第03選區[區域]",55d2c2d4-c6e4-4290-9b3f-77406ab936af,105年立法委員,黃昭展,1852000,250000,0,0,8000,8,2110008,439700,776348,243479,623799,0,299523,0,57980,0
55086642-d6e4-4641-a71d-2f916ab936af,"2016-01 > 立法委員 > 高雄市 > 第06選區[區域]",555b4e7b-2608-4072-aaa9-5a2e6ab936af,105年立法委員,黃柏霖,5282400,3175000,5800000,340000,4000,1,4526602,9301185,428000,14601401,1783351,0,99387,1486976,0,0
