許至椿,第16屆臺南市議員擬參選人許至椿政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/557/09418058351.doc
許添財,第15屆臺南市長擬參選人許添財政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/560/09418058601.doc
段緯宇,第16屆臺中縣議員擬參選人段緯宇政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/558/09418058611.doc
劉勝全,第16屆桃園縣議員擬參選人劉勝全政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/568/09418058861.doc
舒翠玲,第16屆桃園縣議員擬參選人舒翠玲政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/569/09418059211.doc
洪嘉賓,第16屆臺南縣議員擬參選人洪嘉賓政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/578/09418059531.doc
陳有江,第16屆臺中市議員擬參選人陳有江政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/564/09418059541.doc
鄭戴麗香,第16屆臺北縣議員擬參選人鄭戴麗香政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/570/09418059551.doc
劉淑蘭,第16屆臺中縣議員擬參選人劉淑蘭政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/566/09418059621.doc
黃英傑,第16屆臺中市議員擬參選人黃英傑政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/572/09418059761.doc
陳進丁,第15屆彰化縣長擬參選人陳進丁政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/567/09418059771.doc
林俊憲,第16屆臺南市議員擬參選人林俊憲政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/571/09418060171.doc
唐國泰,第16屆臺中市議員擬參選人唐國泰政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/576/09418060181.doc
賴燕雪,第16屆南投縣議員擬參選人賴燕雪政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/573/09418060381.doc
張錦昆,第16屆彰化縣議員擬參選人張錦昆政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/574/09418060411.doc
謝志忠,第16屆臺中縣議員擬參選人謝志忠政治獻金專戶,http://sunshine.cy.gov.tw/GipOpenWeb/wSite/public/upload/Collection_Accounting/579/09418060421.doc
